agent_type,pid,count,mean,sum_exec,max
eta_agent,7963,90,14.311,1287.971,74.171
eta_agent,7765,81,15.012,1215.934,89.06
eta_agent,8099,78,14.705,1146.974,71.232
eta_agent,7985,76,14.893,1131.898,91.333
eta_agent,7864,95,11.677,1109.321,60.411
eta_agent,7694,82,13.458,1103.517,77.639
eta_agent,7769,78,14.087,1098.795,73.434
eta_agent,7763,78,14.084,1098.55,88.38
eta_agent,8109,85,12.834,1090.877,81.274
eta_agent,7851,83,13.127,1089.526,68.991
eta_agent,8079,77,14.053,1082.085,70.506
eta_agent,7762,72,14.967,1077.633,61.346
eta_agent,7767,82,13.134,1077.025,61.379
eta_agent,7693,79,13.629,1076.712,96.697
eta_agent,7964,71,15.114,1073.069,88.992
eta_agent,8023,71,15.096,1071.781,74.668
eta_agent,8084,79,13.553,1070.65,96.265
eta_agent,7773,81,13.15,1065.11,96.786
eta_agent,7761,77,13.81,1063.407,75.403
eta_agent,7861,81,13.123,1062.99,71.844
eta_agent,7961,70,15.025,1051.729,84.074
eta_agent,7853,79,13.302,1050.847,55.496
eta_agent,7768,74,14.177,1049.062,87.576
eta_agent,7962,85,12.295,1045.038,81.901
eta_agent,7691,80,13.055,1044.409,69.395
eta_agent,7766,81,12.857,1041.394,113.754
eta_agent,7850,74,14.06,1040.446,97.034
eta_agent,7977,78,13.273,1035.299,76.14
eta_agent,7785,79,13.095,1034.521,65.807
eta_agent,7764,78,13.257,1034.033,58.244
eta_agent,7793,75,13.783,1033.705,81.119
eta_agent,7843,69,14.93,1030.147,74.461
eta_agent,7771,89,11.479,1021.601,48.041
eta_agent,8098,83,12.157,1009.027,92.686
eta_agent,7692,77,13.042,1004.216,102.766
eta_agent,8097,67,14.899,998.217,103.067
eta_agent,7695,72,13.842,996.601,74.333
eta_agent,7865,77,12.935,995.978,115.341
eta_agent,7860,74,13.427,993.611,115.895
eta_agent,8216,87,11.302,983.285,51.84
eta_agent,7844,66,14.892,982.846,89.087
eta_agent,8093,64,15.282,978.021,62.659
eta_agent,8132,84,11.633,977.201,63.218
eta_agent,7772,65,14.956,972.145,82.296
eta_agent,7852,77,12.591,969.52,97.909
eta_agent,7788,76,12.694,964.744,34.574
eta_agent,7690,75,12.757,956.81,55.609
eta_agent,7696,79,11.911,940.983,59.479
eta_agent,7976,74,12.714,940.821,63.072
eta_agent,8025,82,11.261,923.387,58.512
eta_agent,7980,81,11.355,919.775,69.218
eta_agent,7760,64,14.237,911.186,74.341
eta_agent,8024,75,12.015,901.12,42.368
eta_agent,8035,88,9.926,873.514,46.664
eta_agent,7770,67,12.975,869.358,56.298
eta_agent,8110,68,12.744,866.564,57.254
eta_agent,8088,64,13.512,864.745,80.853
eta_agent,8087,73,11.691,853.441,104.868
eta_agent,8036,63,12.989,818.282,46.279
eta_agent,8144,58,13.497,782.847,67.624
eta_iagent,7759,16,11.328,181.242,13.286
eta_iagent,8131,15,10.927,163.901,13.525
eta_iagent,7975,15,9.824,147.353,13.335
eta_iagent,8150,16,8.307,132.915,13.267
eta_iagent,7984,13,10.163,132.121,13.635
eta_iagent,7758,9,12.638,113.746,13.978
eta_iagent,8034,11,10.063,110.693,13.223
eta_iagent,8143,10,10.35,103.495,13.334
eta_iagent,7989,11,8.451,92.963,13.204
eta_iagent,8086,5,10.152,50.762,13.262
