minute_ts,n,p95_exec,mean_exec,robust_z
2025-11-06 22:16:00,110,96.95145,26.573581818181818,20.939027783216027
2025-11-06 22:25:00,141,86.422,19.255468085106383,18.520895821451994
2025-11-06 23:04:00,120,81.59309999999998,23.431433333333334,17.411918863475808
2025-11-06 22:55:00,106,74.429,19.970169811320755,15.766653518441293
2025-11-06 22:14:00,94,67.07605,20.589382978723403,14.07801798588709
2025-11-06 14:11:00,133,66.73139999999995,23.383593984962406,13.998867680731355
2025-11-06 22:17:00,96,64.5605,20.432489583333332,13.500311471642236
2025-11-06 23:36:00,93,64.1558,16.70179569892473,13.407370434368122
2025-11-06 22:24:00,116,62.707750000000004,21.239844827586207,13.074819732552509
2025-11-06 22:34:00,120,56.676,16.265249999999998,11.689603272018465
2025-11-07 00:02:00,99,53.042399999999994,18.015252525252524,10.855131927715979
2025-11-06 23:08:00,106,52.57675,16.670622641509436,10.748193469582326
2025-11-07 00:08:00,121,50.572,16.807809917355375,10.287794298652559
2025-11-06 22:38:00,82,50.175900000000055,14.076231707317072,10.196828287127301
2025-11-07 01:26:00,78,50.16209999999997,14.082602564102563,10.193659059762858
2025-11-06 23:06:00,89,48.204599999999985,19.531348314606742,9.744111047743896
2025-11-06 23:22:00,83,46.90409999999989,13.955397590361446,9.445445816770356
2025-11-06 14:09:00,159,46.755399999999995,20.283647798742138,9.411296243647916
2025-11-06 14:10:00,157,46.6316,20.142783439490444,9.38286505903083
2025-11-06 23:02:00,84,46.37854999999999,14.993964285714284,9.324751074641863
